video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=0mBJzdEaxB0&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NBCNewYork,NBC New York,Officers of Color Speak out on NYPD’s Racial Divide | NBC New York I-Team,9.7K,5 years,"Veteran NYPD officers of color speak out on racial disparities, arrest and summonses goals. Sarah Wallace reports.",2026-01-22 05:47:20.790445
/watch?v=V6vtrxCXGjc&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNews,CBS News,CBSN Originals explores how new tech could be reinforcing racial bias in policing,3K,5 years,Police departments are turning to big data to help reduce crimes in their neighborhoods. But critics argue this technology ...,2026-01-22 05:47:20.791982
/watch?v=Kcug7jO4lZA&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@France24_en,FRANCE 24 English,'How do you spell racist? NYPD!' - Second night of protests in New York,1K,11 years,Black lives matter. That is the message of Americans voicing their anger over police killings of young Black suspects. For the 2nd ...,2026-01-22 05:47:20.794080
/watch?v=8jqXeW5C324&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@ABCNews,ABC News,NYPD's Stop-and-Frisk: Racial Profiling or 'Proactive Policing'?,1.1M,12 years,"NYPD says its controversial policy keeps the streets safe, but critics say its harassment.",2026-01-22 05:47:20.797507
/watch?v=Qi-qpuBxCzs&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@OJPNIJ,National Institute of Justice,Police on Police Shootings and the Puzzle of Unconscious Racial Bias,915,6 years,Professor Christopher Stone recently completed a study of police-on-police shootings as part of a task force he chaired in New ...,2026-01-22 05:47:20.799424
/watch?v=ZU_o87c08l4&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@Context_news,Context,Does predictive policing enforce racial bias?,13K,5 years,"As protests against racism and police brutality continue to sweep across the world, is predictive policing adding to the problem by ...",2026-01-22 05:47:20.801527
/watch?v=bOyetidrEZA&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,Commanding Officer Of NYPD's Anti-Asian Hate Crimes Task Force Discusses Recent Surge In Violence,12K,4 years,CBS2's Ali Bauman spoke with the commanding officer of the NYPD's anti-Asian hate crimes task force about the disturbing spike ...,2026-01-22 05:47:20.802895
/watch?v=wQDF3BSTdAo&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNews,CBS News,Preview: Racial Profiling 2.0,2.1K,5 years,"As police departments turn to big data to help reduce crime in their neighborhoods, advocacy groups are sounding the alarm ...",2026-01-22 05:47:20.804989
/watch?v=eVBFz-UZWyg&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NewYorkTimesEvents,New York Times Events,The Future of Policing,121,7 years,"From facial recognition software to DNA testing, local and federal law enforcement have embraced high-tech tools to prosecute ...",2026-01-22 05:47:20.806339
/watch?v=G3QlRtwjekU&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,NYPD Investigating Anti-Asian Incident In 5 Train,76K,4 years,CBS2's Jessica Moore has the story.,2026-01-22 05:47:20.807858
/watch?v=J5HVSZwWhcQ&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@NACDLvideo,NACDLvideo,"Predictive Policing Task Force Webinar Upon Release of its Report, ""Garbage In, Gospel Out""",442,4 years,"""Garbage In, Gospel Out: How Data-Driven Policing Technologies Entrench Historic Racism and 'Tech-Wash' Bias in the Criminal ...",2026-01-22 05:47:20.810003
/watch?v=KyXoheQssjU&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@RISEtoWIN,RISE,"Beyond Justice: A RISE Critical Conversation on Sport, Race & Community-Police Relations - New York.",331,4 years,RISE partners with the BIG EAST Conference to bring its Beyond Justice Critical Conversation series to New York City. This series ...,2026-01-22 05:47:20.811966
/watch?v=fm9vZNwkiI8&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,"CBS News: How Police Handle Racial Bias, De-Escalation Training",1.3K,6 years,"As part of a year-long probe into policing in America, CBS News contacted more than 150 police departments across the country ...",2026-01-22 05:47:20.813384
/watch?v=Fw1qxKfnEZc&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@CBSNewYork,CBS New York,NYPD Hate Crimes Task Force Looking For Man Accused Of Threatening Asian Woman In Midtown,36K,4 years,Investigators said the man approached the 65-year-old woman and shouted allegedly racist comments at her.,2026-01-22 05:47:20.814692
/watch?v=o82eoB3tq4Y&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr0gcJCYcKAYcqIYzv,/@FoxBusiness,Fox Business,Is Racial bias to blame for police shootings?,1K,9 years,Manhattan Institute Fellow Heather Mac Donald on the Dallas shooting and the pressures that police now face.,2026-01-22 05:47:20.816475
/watch?v=l8AfohSyqAw&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@PBSNewsHour,PBS NewsHour,This police training uncovers the implicit bias in all of us,21K,7 years,"Against the backdrop of simmering tensions over race and police violence against African Americans, police departments like the ...",2026-01-22 05:47:20.818343
/watch?v=D2vctUezliE&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@ManhattanInst,Manhattan Institute,"Race, Riots, and the Police",119K,Streamed 5 years,"Even as protests over the death of George Floyd devolved into riots reminiscent of 1960s-era unrest, activists have made “defund ...",2026-01-22 05:47:20.820199
/watch?v=HBPfIn1s7p8&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,NYPD Investigating Racist Robocalls At Barnard & Columbia,671,6 years,Police are investigating racist robocalls at Barnard College and Columbia University.,2026-01-22 05:47:20.821573
/watch?v=d6H2WM2YwPE&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,City Suspends Inspector Who Replaced Tenant’s Name With Racial Slur On Letter,14K,4 years,The letter was sent to a tenant who filed a complaint with the city when his apartment lost heat and hot water. There was a racial ...,2026-01-22 05:47:20.823101
/watch?v=PzxaNyo0Hn0&pp=ygUkIHByZWRpY3RpdmUgcG9saWNpbmcgcmFjaXNtIE5ldyBZb3Jr,/@CBSNewYork,CBS New York,NYPD Reassigns 600 Undercover Officers As Protests Spark Changes,6.5K,5 years,This morning there is mixed reaction to a decision to disband some undercover police units across the city. It comes after another ...,2026-01-22 05:47:30.931125
